"X.1","X","ISBN","Title","Author","Year","Publisher","Description","Avg_Rating","Num_Pages","Ratings_Count","Text_Reviews_Count","freshNessFeature","characters","AuthorFansCount","AuthorRatings","AuthorWorksCount","ScoreList"
443,443,"0439067553","The Class Trip (Hello Reader. Level 1)","Grace MacCarone",1999,"Scholastic","Sam has quite a scare when he gets separated from his group on a trip to the zoo. But all ends well and Sam learns an important lesson about protecting himself.<br /><br /><b>Book Details:</b>  Format: Paperback 
   Publication Date: 12/1/1999 
   Pages: 32 
   Reading Level: Age 4 and Up 
 ",3.41,32,36,3,0,1,NA,NA,NA,0.833333333333333
444,444,"0439070325","The Separation (Animorphs, 32)","K. A. Applegate",1999,"Scholastic","Rachel is falling apart. Literally. Her newest morph the ability to regenerate its limbs, but when Rachel demorphs there's a lot more Rachel than when she started out. One more Rachel, to be exact. Rachel is an okay person to have around. But two could be considered overkill. Especially two Rachels with completely opposite personalities: one is pathetically weak; one is super strong and super nasty.Now the Animorphs have to figure out a way to put Rachel back together again. Because if it's up to the ""twins, "" Rachel the weak will surrender to Visser Three. Rachel the super bold will try to single-handedly take him down. And twice the trouble may be twice as much as the other Animorphs and Ax can handle....",3.63,158,1881,47,0,1,NA,NA,NA,-0.135
445,445,"0439071631","El visitante (Animorphs)","K. A. Applegate",1999,"Scholastic","Morphing is certainly more fun than Sega -- you can soar as an eagle and walk as a cat. But being an ANIMORPH is by no means just fun and games. Rachel knew better than anyone. One of her best friends, Melissa, is acting very strange. And it looks like Melissa's dad, who is also the school's Assistant Principal, may be connected to evil aliens. Rachel can't tell Melissa what the ANIMORPHS have learned, but Melissa doesn't seem interested in talking to Rachel these days anyway. Could Melissa be one of ""them?""",3.77,184,1,0,1,2,NA,NA,NA,0.421428571428571
446,446,"0439076668","Marie Antoinette: Princess of Versailles, Austria-France, 1769 (The Royal Diaries)","Kathryn Lasky",2000,"Scholastic","<i>""I look up now into the oval mirror and see barely a trace of the mud-splattered girl tearing through the woodland on her horse, or the barefoot girl wading at Schonbrunn... I have become what Mama set out for me to be. Majestic. A Dauphine and eventually a Queen."" </i><p> So writes the headstrong 13-year-old Maria Antonia--future Queen of France--in her diary on October 23, 1769. In this engrossing addition to the Royal Diaries series (<i>Elizabeth I: Red Rose of the House of Tudor</i>, <i>Cleopatra VII: Daughter of the Nile</i>), Kathryn Lasky invents a diary of the young Marie Antoinette in 1769--the year she is to be married off to Dauphin Louis Auguste, eldest grandson of the French king Louis XV. Arranged marriages were common in that day and age--as the Empress Theresa (of the Holy Roman Empire of the Germanic Nations) sought to consolidate power among nations by marrying off her children. Thus, the future of Austria and France falls upon Maria Antonia's young shoulders.</p><p> To prepare her for this awesome responsibility, she must be trained to write, read, speak French, dress, act... even breathe. Things get even more grim as she is shipped off to the court of Versailles and introduced to her puffy, awkward future husband and confronted with the court's ridiculous customs. Marie--an opinionated and insightful young woman--mocks the court of ""impeccable etiquette and manners"" that makes up nasty rhymes about those they hate, but panics when her hair is mussed. Lasky has done an excellent job of creating a very human character in the young Marie Antoinette--one whom young readers will want to learn more about. Fortunately, her story is given plenty of context with an epilogue describing the history of the young Queen after 1769, a historical note offering an 18th-century context, a Habsburg-Bourbon family tree, and various portraits of the royal family. (Ages 9 to 13) <i>--Karin Snelson</i></p>",3.86,238,6739,294,0,5,1208,4.011,167,0.296428571428571
447,447,"0439077826","El fantasma aullador (Escalofríos No. 32)","R. L. Stine",1999,"Scholastic","You didn't make it into the storm cellar, and now you're spinning around inside the eye of a tornado! This is no ordinary twister -- it's got a mind of its own, it's swarming with animals that can talk!",3.54,NA,11,1,0,0,NA,NA,NA,0.075
448,448,"0439079462","The Hallo-Wiener","Dav Pilkey",1999,"Scholastic","Oscar is short, like all dachshunds and other dogs make fun of him. On Halloween he takes more ridicule than ever in his hot-dog costume, but one brave act makes him a hero. Color illustrations throughout. A ""School Library Journal"" Best of the Best of 1995.",4.17,32,2417,181,0,0,526,4.072,156,0.775
449,449,"0439079470","The Butterfly Alphabet","Kjell B. Sandved",1999,"Scholastic","<br /><br />",4.14,64,81,21,0,0,1,2.35285714285714,7,0
450,450,"0439080967","Bad, Badder, Baddest (Bad Girls)","Cynthia Voigt",1999,"Scholastic","In this sequel to ""Bad Girls"", Cynthia Voigt once again explores the uncharted territory of 5th grade girls who don't want to be good. This time, Mikey and Margalo devise a plan to reconcile Mikey's divorcing parents--until a ""really"" bad girl, Gianette, gets in the way.",3.15,266,17,4,0,1,561,3.846,51,0.125
451,451,"0439082005","Funny You Should Ask: Weird but True Answers to 115 1/2 Wacky Questions","Marg Meikle",1999,"Scholastic","A light hearted book for Juvenile readers answering such questions as, ""why do we eat popcorn at movies.""",3.18,NA,1,1,0,0,2,2.16666666666667,9,1.2
452,452,"0439082277","B*Witched: Backstage Pass","Kristen Kemp",1999,"Scholastic","Packed with big photos, revealing biographies, and up-to-date facts, get the full story and scrapbook on the hottest girl group around--B*witched. Full-color photos.",3,48,3,0,0,0,22,3.307,22,0.2
453,453,"0439083249","Everything Changes (Baby-Sitters Club Friends Forever Special)","Ann M. Martin",1999,"Scholastic","It's a summer of change for the Baby-sitters Club, with major changes in the look and focus of Ann M. Martin's classic series. Throughout the summer members of the club share feelings about who they are and where they're going in a special journal. Four members drop out of the club, bringing the group back to the original characters: Kristy, Mary Anne, Claudia, and Stacey. Four Friends Forever.",3.56,259,6,0,0,3,1394,3.94,602,0.7
454,454,"0439083877","Top 10 Shakespeare Stories (Top Ten)","Terry Deary",1999,"Scholastic","Why is that Hamlet guy always talking to himself? In language kids can understand, this book explores the Bard's ten best-known plays. Included are a biography of Shakespeare and a discussion of theater in his day. This is part of a series presenting the great works of Western culture to children, with lively illustrations, quizzes, plot summaries, and lots of top ten lists.",3.84,192,138,4,0,1,367,3.961,441,0.925
455,455,"0439086272","El encuentro (Animorphs 3)","K. A. Applegate",1999,"Scholastic","Warned to never stay in his animal shape for more than two hours, Tobias forgets when he becomes involved in a rescue campaign and faces being trapped in a hawk's body forever.",3.81,179,3,0,0,0,NA,NA,NA,-0.75
456,456,"0439086531","Wild, Wild West: A Junior Novelization","Dina Anastasio",1999,"Scholastic","In a plot to have the South rise again, a mad scientist is devising a cunning plan, and it is up to Captain James West and a U.S. marshal to put a stop to his evil doings before any damage is done.",0,169,0,0,0,1,1,3.908,119,-2.5
457,457,"0439086949","Where Do You Belong (Rockett's World, 5)","Lauren Day",2000,"Scholastic","Jessie brings a stray dog to school until she can find his owner. Rockett tries to help, but she's distracted by something going on at home. Strangely, Nicole's the only person who seems to understand. Rockett catches a glimpse of Nicole's softer side.",3.62,131,13,1,0,1,0,2.8525,8,-0.225
458,458,"0439087171","Read to Your Bunny","Rosemary Wells",1999,"Scholastic","Read To You Bunny is an invitation to the world of reading -- a poem your child will want to hear again and again. Make it a prelude to reading with your own little bunnies every day -- and soon they'll be reading back to you.",3.72,32,335,34,0,0,168,3.944,301,0.525
459,459,"0439087295","Clifford va a la escuela","Norman Bridwell",1999,"Scholastic","<div><br /><br />Es una pena que Clifford no pueda entrar a la escuela de Emily Elizabeth, pero la última vez que el perrito acompañó a su dueña al salón de clases, no paró de hacer travesuras. La maestra le pidió a Emily Elizabeth que lo trajera de vuelta cuando estuviese un poco más grande. ¿Quién se iba a imaginar que Clifford crecería tanto que no podría volver a entrar?<br /></div>",4,32,3,0,0,2,97,4.159,245,0
460,460,"0439087309","10 Things I Hate About You","David Levithan",1999,"Scholastic","A romantic comedy based on the classic Shakespeare play, The Taming of the Shrew, this book is a tie-in to the new teen movie starring Larisa Oleynik, Joseph Gordon-Levitt, and teen idol Andrew Keegan.",4.08,170,1178,49,0,4,13665,3.804,80,1.8
461,461,"0439087880","Girl Gets Real: A Teenager's Guide to Life","Danielle Fishel",1999,"Scholastic","Danielle Fishel stars as Topanga on ABC's Boy Meets World, the second-highest rated TV show among girls ages 10 to 17. In this, the ultimate you go, girl, book, Danielle dishes up advice about standing up for yourself, body issues, relationships, family, friendship, and being okay with who you are.",4.03,144,30,4,0,0,58,3.82,2,0.625
462,462,"0439087929","Just the Two of Us","Will Smith",2001,"Scholastic","The Grammy Award-winning performer adapts his song into a picture book that follows the relationship between a son and his father through three stages in life and touches on the values of dignity, integrity, and honor. Full color.",3.99,NA,267,82,0,0,NA,NA,NA,1.2
463,463,"0439090113","See for Yourself: More Than 100 Experiments for Science Fairs and Projects","Vicki Cobb",2001,"Scholastic","Provides experiments suitable for science fair projects in the fields of chemistry, earth science, physical science, the human body, and technology.",3.83,192,4,0,0,0,2,3.828,92,1.35
464,464,"043909254X","The Journal of Otto Peltonen a Finnish Immigrant (My Name Is America)","William Durbin",2000,"Scholastic","After his family emigrates from Finland to Minnesota, Otto Peltonen and his father work in the dangerous iron ore mines of the Mesabi Range. There, in the face of discrimination from the foremen, who accept bribes for the prime mining spots, Otto and his father take part in the beginnings of the labor unionization.",3.64,208,227,37,0,0,13,3.671,20,-0.025
465,465,"0439095026","Tell Me This Isn't Happening","Robynn Clairday",1999,"Scholastic","Robynn Clairday interviewed kids throughout America to collect these real tales of awkward situations. From hilarious to poignant to painful, these stories are accompanied by advice about dealing with embarrassment and finding grace under pressure.",3.33,107,63,12,0,0,7,1.4825,8,-0.2
466,466,"0439095476","Maggie, Diary Three (California Diaries)","Ann M. Martin",1999,"Scholastic","Maggie's dad is working on a new movie starring teen idol Tyler Kendall, but Maggie's not interested. Stars are just self-absorbed and shallow, she thinks -- until she meets Tyler.",3.69,128,214,7,0,1,1394,3.94,602,0.9
467,467,"0439097002","Bunnies in the Bathroom (Animal Ark)","Ben M. Baglio",2000,"Scholastic","Mandy's new friend John has his heart set on buying two baby rabbits in the local pet shop. But before he has a chance, Barney and Button are gone. Mandy and James decide to get the bunnies back for John. But will they be able to find the new owner?",3.62,144,548,25,0,2,96,3.843,151,0.8125
468,468,"0439097037","The Kitten That Won First Prize and Other Animal Stories (Animal Ark Special, Book 1)","Ben M. Baglio",2000,"Scholastic","Join Mandy and James for nine different Animal Ark adventures featuring Tess the sheepdog, Henry the hamster, Prince the pony, Houdini the goat, Blackie the labrador, Dorian the donkey, Amber the kitten, Bubble the bunny, and Mickey the mouse-eared bat.",3.64,148,99,3,0,2,96,3.843,151,0.95
469,469,"0439099048","Katarina: A Novel","Kathryn Winter",1999,"Scholastic","During World War II, a Jewish orphan is living with her aunt and uncle when she is rounded up with other Jews, and sent to live in a peasant household. When her Judaism is discovered, she is asked to leave and wanders from village to village, confused by the threat that hangs over her, but maintained by a fierce belief in her eventual return to her family.",3.52,258,296,25,0,0,2,3.52,1,-1.2
470,470,"0439099102","Busy Bunnies' Five Senses (Hello Science Reader!, Level 1,)","Teddy Slater",2000,"Scholastic","The busy bunnies are seeing, hearing, sniffing, tasting, touching -- and teaching children about the five senses!",3.77,NA,13,3,0,0,16,3.976,136,0
471,471,"043910274X","The Magic School Bus Gets a Bright Idea: A Book About Light (Magic School Bus)","Nancy White",1999,"Scholastic","Ms. Frizzle's class thinks the PTA light show is pretty wild, but really surprising things happen when the show is over. Ms. Frizzle and the Magic School Bus arrive just in time to help solve the mystery and teach about the properties of light.",4.03,32,57,7,0,0,0,4.37,61,0.775
472,472,"0439102758","Kicks Up a Storm: A Book About  Weather (Magic School Bus)","Nancy White",2000,"Scholastic","A book about weather, from the animated television series on the Learning Channel.",4.26,32,401,12,0,0,0,4.37,61,1.2
473,473,"0439104270","Adam Sandler: Not Too Shabby!","Jon Salem",1999,"Scholastic","Find out how a class clown went from ""least likely to succeed"" to one of the biggest comedy stars in America. This first biography on Sandler includes his inspiring life story, plus an 8-page photo insert. Published to tie in with the release of Sandler's newest movie, ""Big Daddy.""",3.8,86,5,0,0,0,1,2.26666666666667,3,0.7
474,474,"0439106753","The Mutation (Animorphs #36)","K. A. Applegate",1999,"Scholastic","Morphing into killer whales, the Animorphs discover a whole new world where humans with gills exist in the deep waters below.",3.67,142,1627,36,0,0,NA,NA,NA,-0.2
475,475,"043910677X","The Arrival (Animorphs (Paperback Numbered))","K. A. Applegate",2000,"Scholastic","Ax's people have arrived on Earth, and they want Ax back on board with them. Ax is torn. Should he join his fellow Andalites? Can he desert the Animorphs?",3.76,148,1560,31,0,0,NA,NA,NA,-0.0875
476,476,"0439106796","The Other (Animorphs, 40)","K. A. Applegate",2000,"Scholastic","Ax and the Animorphs find new hope when they learn that he is not the only non-infected Andalite on Earth.",3.73,130,1446,30,0,0,NA,NA,NA,2.1
477,477,"0439109906","The Wild Whale Watch (Magic School Bus Chapter Book)","Eva Moore",2000,"Scholastic","The Magic School Sub takes the kids deep into the ocean, where they learn all sorts of fascinating facts about whales.",4.28,75,1338,20,0,0,10,4.145,44,2.2
478,478,"0439112028","Drawing Lessons","Tracy MacK",2000,"Scholastic","A stunning first novel about losing your childhood and finding your voice.<br /><br />Twelve-year-old Aurora is an artist like her father. Through a hundred drawing lessons he guided her hand, trained her eye, thught her how to mix colors and achieve perspective. Together they pplan to paint a beautiful mutral for Rory's mother... maybe showing a sunset, to make up for the ones Mom misses because she's at her job, supporting the family. But when Rory goes to show her father a sketch for themural she finds him embracing his model. Outraged, she tries to hurt him by burning up her sketchbook, Soon after, he leaves, and Rory knows her anger drove him away.",3.45,176,9,0,0,0,NA,NA,NA,0.441666666666667
479,479,"0439112087","Our Strange New Land: Elizabeth's Diary, Jamestown, Virginia, 1609 (My America (Hardcover))","Patricia Hermes",2000,"Scholastic","Award-winning author Pat Hermes tells the story of Elizabeth Barker, whose family sails from Plymouth, England, to Jamestown, Virginia, in 1609. This book helps to relaunch the My America series. <br />In May 1607, 3 ships sailed up the James River in Virginia. In the riverbank marshes, they made land and hung the flag--England's flag--establishing the first permanent English colony in Jamestown, Virginia. In 1609, the first ship carrying women and children arrived. <br />After 71 days at sea, nine-year-old Elizabeth Barker is thrilled to be on dry land. Lizzie keeps a journal for Caleb, her twin brother who stayed in England because of his weak lungs. In her buoyant entries, Lizzie tells of the abundant forests, trading with and learning from the Indians, and adventures with her new friends.",3.73,112,39,4,0,2,56,3.927,59,0.475
480,480,"0439113482","Scooby-Doo! and the Zombie's Treasure (Scooby-Doo Mysteries, 9)","James Gelsey",2000,"Scholastic","Time to solve a mystery! These chaper books are perfect for Scooby fans!",3.68,64,93,13,0,0,16,4.073,83,0.875
481,481,"0439113490","Scooby Doo! and the Spooky Strikeout (Scooby-Doo Mysteries, 10)","James Gelsey",2000,"Scholastic","Scooby-Doo and the gang are investigating a haunted baseball stadium. Will this mystery end in a ghost-busting grand slam?",3.98,64,182,8,0,0,16,4.073,83,-1.1
482,482,"0439114268","The Case of the Runaway Dog (Jigsaw Jones Mystery, No 7)","James Preller",1999,"Scholastic","Jigsaw's dog Rags is missing! It's the most important case yet for super-sleuths Jigsaw and Mila.",3.92,80,122,8,0,1,48,3.75,125,0
483,483,"0439114667","What's Your Guy-Q?: And Other Quizzes to Help Discover the Real You! (Teen Magazine)","Beth Mayall",2000,"Scholastic","Are you ready for a relationship? Do you fight fair? What's your color personality? How responsible are you? This quiz book explores every aspect of teen life -- guys, friends, school, home, and family.",3,144,4,0,0,0,8,0.665,13,0.21
484,484,"0439114934","Space Explorers (Magic School Bus Chapter Book)","Eva Moore",2000,"Scholastic","The Magic School Bus blasts off on a tour of the solar system, and the kids discover how other planets differ from Earth. This field trip is definitely far out!",4.3,76,1025,21,0,0,10,4.145,44,-0.075
485,485,"0439115159","The Familiar (Animorphs, No 41 (Paper Series))","K. A. Applegate",2000,"Scholastic","Jake wakes up one morning to find he is suddenly twenty-five years old, the Yeerks rule the world, all the other Animorphs are either dead or Yeerk-infested, and he alone is left to fight.",3.68,143,1503,32,0,0,NA,NA,NA,-2.1
486,486,"0439115167","The Journey (Animorphs, 42)","K. A. Applegate",2000,"Scholastic","The Helmacrons need more power to escape the earth's atmosphere, so they have returned to demand the morphing cube. When Rachel tries to destroy their ship, the tiny egomaniacs bail -- right into Marco's left nostril. And the other Animorphs have to get them out before the little aliens do some real damage.",3.67,160,1422,29,0,0,NA,NA,NA,-0.316666666666667
487,487,"0439115175","The Test (Animorphs, No 43)","K. A. Applegate",2000,"Scholastic","Tobias, the other Animorphs, and Ax have seen things so bizarre that no sane person would believe their story. No one would believe that aliens have taken over Earth, and are in the process of infesting as many humans as possible. No one could believe the battles and missions and losses these six kids have had to deal with. And it's not over yet.<br /><br />Tobias has been captured by the same human-Controller that nearly tortured him to death once before. She claims that she's now a part of the Yeerk Peace Movement. That she just needs a favor. Tobias isn't sure what to believe, but he knows that if the Animorphs and Ax don't find him soon, what he believes won't matter anymore...",3.8,144,1420,27,0,0,NA,NA,NA,-0.18125
488,488,"0439115183","The Unexpected (Animorphs, 44)","K. A. Applegate",2000,"Scholastic","The Animorphs have been split up before. And they've had to fight battles without one another. But this time is very different. Not only is Cassie totally alone. She's managed to find herself in Australia. In the rural Outback. The other Animorphs and Ax don't even know she's there.<br /><br />Cassie doesn't have any idea where she's going, or if she can even survive the rugged terrain. But she does know she has to get to a town or village and contact her family and friends. Because she's just realized that there's someone else who is also new to the Outback.<br /><br />Visser Three.",3.66,160,1409,34,0,0,NA,NA,NA,-0.0181818181818182
489,489,"0439115213","The Resistance (Animorphs, 47)","K. A. Applegate",2000,"Scholastic","The Animorphs and Ax have to make the most important decision they've ever had to make: Do they continue to fight the Yeerks in secret, or is it time to let everyone know there is a resistance? That the Animorphs exist. And that Earth does stand a small chance against the invasion.<br /><br />Jake knows that either choice is a major one. Not one that some kid should be responsible for. But he's getting tired of the pressure. So, even though he realizes the other Animorphs need him to be strong, he doesn't feel that way. In fact, he feels just the opposite. And Jake knows if he starts to lose it the Animorphs are done...",3.75,160,1398,27,0,0,NA,NA,NA,-0.0166666666666667
490,490,"0439115221","The Return (Animorphs, 48)","K. A. Applegate",2000,"Scholastic","David, the ""sixth Animorph,"" is back. When the Animorphs and Ax decided to give another human being the power to morph, it was one of their biggest mistakes. David tried to destroy all of them--and almost succeeded. Rachel and the others thought they'd seen the last of him.<br /><br />They were wrong.<br /><br />Rachel knows what a threat David is. He's cunning and dangerous. Worst of all, he knows their secrets. Now he's captured Rachel as part of his plan to take over everything. David wants power. Money. But more than anything, he wants revenge.",3.69,148,1403,33,0,2,NA,NA,NA,-0.283333333333333
491,491,"0439115272","The Answer (Animorphs, No. 53)","K. A. Applegate",2001,"Scholastic","<b>The Barnes &amp; Noble Review</b><br />The end is near -- very near. Every Animorph question is about to be answered. There's only one more book in the popular series, and <i>The Answer</i> epitomizes everything the books have stood for -- suspense, struggle, and fights to save planet Earth.<p><br /><br />The war is raging on, and the Yeerks are everywhere. Jake tries to convince the government to help him and the Animorphs destroy the Yeerk pool. But when that plan fails, they try to do the job themselves. In an effort to deter new arrivals and finish off the ones still around, the Animorphs and Ax blow holes throughout the Yeerks pool. In these gallant efforts, some innocent bystanders are hurt, but that is the way of the world they live in. But the plans go awry, and Jake and the Animorphs find themselves trapped in the new Yeerk Pool. They have lost all hope, when they find unexpected comfort and comradeship from the disgusting Taxxons -- who have always been associated with Yeerks and have their own problems with the destroyers. They might just be able to save planet Earth -- but has the end already begun? <i>(Amy Barkat)</i></p>",3.91,157,1368,30,0,3,NA,NA,NA,-0.154166666666667
492,492,"0439115280","The Beginning (Animorphs, No 54)","K. A. Applegate",2001,"Scholastic","This is it! Yeerk ships are pouring in from all ends of the galaxy. An all-out war for the planet has finally begun. The winner will control Earth. The loser will perish. The President of the United States is a Controller, and the Animorphs have been forced to rally their own military force of 5,000. Will this be enough to defeat the seemingly endless onslaught of Yeerks? Rachel has always prepared for the final battle. But is she too eager? It's her moment...and this time there will be no compromise!",3.87,159,1634,93,0,1,NA,NA,NA,-0.25
493,493,"0439116759","It's Heaven to Be Seven","Roald Dahl",2000,"Scholastic","One of five anthologies that include stories by such beloved authors as Beverly Cleary, Roald Dahl, Paula Danziger, Patricia MacLachlan, E.B. White, Judy Blume, A.A. Milne, Syd Hoff, and more. Each collection targets its very own special age group - will want to collect them all!",3.6,112,52,3,0,7,15443,4.039,531,0.95
494,494,"0439120489","The Secrets of the Scepter (Unicorns of Balinor)","Mary Stanton",2000,"Scholastic","Beginning a pilgrimage to learn the powers of the recently acquired Royal Scepter, Princess Arianna hopes to reach the celestial unicorns before the evil Shifter attacks again.",3.97,113,1013,14,0,1,232,3.91,28,1.95
495,495,"0439128641","Broken Sky (Broken Sky, 2)","Chris Wooding",2000,"Scholastic","Kia and Ryushi are on the run in enemy territory. An evil king and his daughter are tracking them down...the same way they tracked down their father. Kia wants revenge. Ryushi just wants to survive.",4.23,160,7,0,0,0,1101,4.088,39,-0.3125
496,496,"0439129338","Advanced Yo-Yo Tricks","Bruce Weber",1999,"Scholastic","Yo-yo lovers who've conquered ""Walk the Dog"" and ""Around the World"" can now learn how to throw like champions and master more than 20 new tricks. Complete with a review of the basics and handy illustrations, this advanced guide will cake yo-yo buffs to a new level!",0,84,0,0,0,0,7,3.752,149,2.7
497,497,"0439129567","Clifford: Al Rescate (Clifford)","Norman Bridwell",2000,"Scholastic","A Clifford le gusta mucho ayudar. No importa si se trata de un fuego que hay que apagar, de servir de ayudante en un circo o de atrapar a unos ladrones, el gran perro colorado esta siempre dispuesto a servir a los demas.",3.74,32,1,0,0,0,97,4.159,245,0
498,498,"0439131952","Find Where the Wind Goes: Moments from My Life","Dr. Mae Jemison",2001,"Scholastic","Dr. Mae Jemison--chemical engineer, scientist, teacher, and the first African-American woman to go into space--shares the story of her life. In this autobiography, she traces her life from her childhood determination to fly into space to when she made history as she blasted into orbit aboard the space shuttle Endeavor.",3.86,208,1,0,0,0,NA,NA,NA,1.075
499,499,"0439135249","Fatality","Caroline B. Cooney",2001,"Scholastic","When Rose Lymond was invited to spend a weekend at Angelica's magnificent summer home, she had plans to just enjoy herself. But somebody ended up dead. Now, four years later, the police have reopened the case, and have the diary Rose kept all through that time.",3.53,208,544,38,0,0,934,3.748,110,0
500,500,"0439135303","All-Day Nightmare (Give Yourself Goosebumps, No 42)","R. L. Stine",2000,"Scholastic","You had terrible dreams last night. And when you wake up, you're not in your bed -- or your room. You're stuck in some creepy old house, and you can't remember your own name! Your nightmares have only just begun...",3.84,137,122,3,0,0,NA,NA,NA,-0.6875
501,501,"0439135478","Get It Together: How to Organize Everything in Your Life (All About You)","Julia Marsden",2000,"Scholastic","From the writers of All About You, here is the perfect guide to making preteen life cool and collected! Readers will find great organizational tips on how to find more time to do the things they love, create a sense of space in their rooms, coordinate a cool wardrobe, and cut down on chaos and stress. The interactive sections, contemporary language, and practical advice make this both an attractive and useful book for preteens.",2.75,112,0,0,0,0,0,2.72222222222222,9,1.9
502,502,"0439135508","Attack of the Prehistoric Pokemon (Pokemon Chapter Book #3)","Tracey West",1999,"Scholastic","<div>Gotta read 'em all!<br /><br />Ash, Misty, Brock, and Pikachu go on a Pokemon fossil dig. Things get explosive when Team Rocket accidentally wakes up some cranky ancient Pokemon -- including a flying Aerodactyl!<br /><br />Then, in the middle of the action, Ash finds a mysterious Pokemon egg. Could it hold an unknown Pokemon?</div>",4.21,80,591,11,0,2,79,4.232,444,-0.783333333333333
503,503,"0439136350","Harry Potter and the Prisoner of Azkaban (Book 3)","J. K. Rowling",1999,"Scholastic","Harry Potter's third year at Hogwarts is full of new dangers. A convicted murderer, Sirius Black, has broken out of Azkaban prison, and it seems he's after Harry. Now Hogwarts is being patrolled by the dementors, the Azkaban guards who are hunting Sirius. But Harry can't imagine that Sirius—or, for that matter, the evil Lord Voldemort—could be more frightening than the dementors themselves, who have the terrible power to fill anyone they come across with aching loneliness and despair.<br /><br />Meanwhile, life continues as usual at Hogwarts. A top-of-the-line broom takes Harry's success at Quidditch, the sport of the Wizarding world, to new heights. A cute fourth-year student catches his eye. And he becomes close with the new Defense of the Dark Arts teacher, who was a childhood friend of his father.<br /><br />Yet despite the relative safety of life at Hogwarts and the best efforts of the dementors, the threat of Sirius Black grows ever closer. But if Harry has learned anything from his education in wizardry, it is that things are often not what they seem.<br /><br />Tragic revelations, heartwarming surprises, and high-stakes magical adventures await the boy wizard in this funny and poignant third installment of the beloved series.",4.51,448,22632,1189,0,3,NA,NA,NA,0.204545454545455
504,504,"0439136865","Home Is Where the Heart Is (Moffatts on the Road, 1)","Nancy E. Krulik",2000,"Scholastic","The Moffatt brothers sometimes joke that they're ""homeless"", since they spend most of their lives on the road. Then, they meet a teenage girl who really is homeless. Their world is turned upside down -- and they vow to do everything they can to help.",4,101,1,1,0,0,129,3.959,368,-0.266666666666667
505,505,"0439137462","I Love You, Little One","Nancy Tafuri",2000,"Scholastic","Deep in the woods, animal mothers reassure their little ones of the many ways they are loved. Endearing, full-color artwork from a Caldecott Honor artist highlights the bond between parent and baby. 15 spreads.",3.85,15,221,29,0,0,30,3.783,52,1.51666666666667
506,506,"0439139309","The Deadly Hunter (Star Wars: Jedi Apprentice, Book 11)","Jude Watson",2000,"Scholastic","Nobody knows her name. Nobody knows when she will strike. All they know is that she is a deadly bounty hunter--and her latest mission has taken her to Coruscant, home of the Jedi.<br /><br />Her target: an old friend of Qui-Gon Jinn's.<br /><br />Qui-Gon and his apprentice, Obi-Wan Kenobi, make an attempt to catch her...and fail.<br /><br />Now they are her targets, too.",3.82,118,1278,27,0,0,368,3.913,101,-0.225
507,507,"0439139341","The Death of Hope (Star Wars: Jedi Apprentice, Book 15)","Jude Watson",2001,"Scholastic","""I pledge myself to you, Tahl.""<br />""I pledge myself to you, Qui-Gon.""<br /><br />With these words, two Jedi Knights acknowledged that their bond had grown beyond friendship and into love.<br /><br />Now Tahl has been abducted in a trap that Qui-Gon feels he should have foreseen. Consumed by dark visions, Qui-Gon and Obi-Wan Kenobi must do everything in their power to get her back before it's too late. But that won't be easy in a land where nobody can be trusted . . . and everyone has something to hide.",3.83,152,1132,23,0,0,368,3.913,101,0.075
508,508,"043913935X","The Call to Vengeance (Star Wars: Jedi Apprentice, Book 16)","Jude Watson",2001,"Scholastic","Qui-Gon Jinn is a man on the edge. His heart has been shattered. His beliefs have been destroyed. And now he is dangerously close to stepping over a line that no Jedi dares to cross.<br /><br />He wants revenge.<br /><br />His fellow Jedi--his apprentice Obi-Wan Kenobi, and Jedi Council member Mace Windu--will try to stop him. But when Qui-Gon strikes out on his own, anything can happen. Revenge is not a Jedi trait . . . but it is a human one. Can Qui-Gon separate his personal feelings from his Jedi training.",3.83,134,1142,25,0,1,368,3.913,101,-0.445
509,509,"0439141001","Freedom's Wings: Corey's Diary, Kentucky to Ohio, 1857 (My America)","Sharon Dennis Wyeth",2001,"Scholastic","<div>In her debut for the My America series, Sharon Dennis Wyeth introduces readers to Birdsong, an amazingly literate young slave boy in antebellum Kentucky.This is the family's tryng escape from bondage.<br /><br />March 1858<br />Mama and me ran. Our turn to fly. We will meet up with Daddy someday. Mr. Renfield said we will try to make that happen. Follow the drinkin' gourd said Mr. Renfield. You will taste your freedom. What does freedom taste like? Where is Daddy?<br />Corey Birdsong is a spiritual, lively young boy in search of freedom in the same country that has made an economy of slavery. He and his family are owned by the Hart family of Kentucky. But, when they learn that Roland,Corey's father is to be sold, Roland flees to the North and Corey and his mother follow.<br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /></div>",3.98,108,24,2,0,3,13,3.906,53,0.322727272727273
510,510,"0439142636","The Next Passage (Animorphs. Alternamorphs, 2)","K. A. Applegate",2000,"Scholastic","In a ""choose your own adventure"" story, the reader must decide what to do when an alien demands a mysterious blue box in return for not killing the reader's character's father.",3.31,104,389,11,0,0,NA,NA,NA,-1.65
511,511,"0439147492","Lewis and Clark (In Their Own Words)","George Sullivan",2000,"Scholastic","This book tells the exciting story of Lewis and Clark's famous expedition West, drawing on the explorers' journals and other primary sources.",3.51,NA,2,1,0,2,5,3.8,257,2.45
